;	coding: utf-8
0	ничего!
1	Вы
3	Перед вами
4	За вами
5	Какие будут приказания?
23	и
38	Вы имеете
39	здоровья из
40	уровень
54	на
55	метров
59	игрок
60	вы
61	убитый
65	минут
66	секунд
67	северу
68	югу
69	востоку
70	западу
71	северо востоку
72	северо западу
73	юго востоку
74	юго западу
79	на лугу, окруженном деревьями
80	лес
81	золотой прииск
82	ратуша
83	ферма
84	дорога
85	крестьянин
86	солдат
87	лучник
88	враг
89	союзник
99	казарма
100	идти
101	строить
102	выработать
103	патрулировать
104	режим
105	ok!
106	остановка
107	на
108	к
110	наступления
111	обороны
112	держать позицию
113	маскироваться
114	атака
115	на
116	на востоке
117	на западе
118	ремонтировать
119	на
120	бой
121	против
122	поле
123	нанять
124	готов!
125	направлять
126	завершено
127	отмена
128	строить
129	требуется
130	юнитов
131	золота
132	дерева
133	продовольствия
134	содержит
135	недостаточно
136	то же самое!
137	продовольствия
138	Под контролем
139	группа
142	остановить производство
143	очередь заполнена
144	выработан
145	нейтрализовано
146	потеряно
147	производство
148	лесопилка
149	Победа!
150	Поражение
151	1
152	тревога
153	мост
154	открытый
155	вы достигли уровня
156	в центре
2008	нажмите F5 для повторного прослушивания
2010	нажмите
2011	для
2012	Tab
2013	перехода по пунктам меню
2014	Enter
2015	подтверждения выбранного пункта меню
2016	A и Q
2017	приказать
2018	Z и S
2019	контролировать другого юнита
2020	X или W
2021	проверить ресурсы
2022	1, 2 или 3
2023	контролировать группу
2024	0
2025	контролировать единственного юнита
2026	backspace
2027	даёт приказ по умолчанию для выбранной цели
2028	F5 и F6
2029	история
2030	Alt
2031	прервать речь
2032	escape
2033	отмены
2034	shift
2035	в обратном порядке
2036	открытия меню
2037	клавиши стрелки
2038	перемещение по карте
2039	control
2040	с игнорированием препятствий
2041	страница вниз
2042	перехода к следующему вашему квадрату
2043	space
2044	перемещения в квадрат юнита, который в данный момент контролируется, и следить за ним
2045	управления следующем локальным юнитом
2046	выбора следующей цели
2047	выбора следующего приказа
2048	управления всеми юнитами одного типа, расположенных в текущем квадрате
2049	подтверждения выбранного приказа
2050	отдачи приказа по умолчанию для текущей цели
2051	прослушивания колличество золота, дерева и продовольствия которое у вас есть
2052	прослушивания здоровья текущего юнита
2053	управления половиной юнитов одного типа, расположенных в том же квадрате что и текущий юнит
2054	управления только одним юнитом
2055	q
2056	управления всеми войсками расположенными в текущем квадрате
2057	управления всеми крестьянами расположенными в текущем квадрате
2058	управления следующим зданием
2059	управления следующим крестьянином
3000	0
3001	1
3002	2
3003	3
3004	4
3005	5
3006	6
3007	7
3008	8
3009	9
3010	10
3011	11
3012	12
3013	13
3014	14
3015	15
3016	16
3017	17
3018	18
3019	19
3020	20
3021	21
3022	22
3023	23
3024	24
3025	25
3026	26
3027	27
3028	28
3029	29
3030	30
3031	31
3040	40
3041	41
3050	50
3051	51
3060	60
3061	61
3070	70
3071	71
3080	80
3090	90
3100	сто
3101	тысяча
3102	миллион
4000	игра
4001	Интернет
4002	местный
4004	обработка
4005	провал
4006	успех!
4007	пожалуйста, сделайте выбор
4008	пожалуйста отправляйте ваши комментарии на jlpo@free.fr
4009	Выход
4010	Меню
4011	продолжить
4012	ошибка версии
4014	стратегия игры
4015	глава
4016	один игрок
4017	карта
4018	мультиплеер
4019	присоединить
4020	задание: 
4021	отразить атаки врага
4022	построено
4023	нанято
4024	израсходовано
4025	зданий
4026	набрано очков
4028	нажмите F1 для получения помощи
4029	главное меню
